START
STOP n=291821 PREIC=521152 IC=521152 IA=000020 INST=FF04000D0001 ST=UNSUPPORTED POSTPSW=0004000160000020
PRE IC=521144 IA=018A3A INST=90DFC00847F0 PSW=0004000090018A3A R6=00000000 R14=00000180 R15=00FF6680
PRE IC=521145 IA=018A3E INST=47F0A08850B0 PSW=0004000090018A3E R6=00000000 R14=00000180 R15=00FF6680
PRE IC=521146 IA=018AA8 INST=05A098BFA012 PSW=0004000090018AA8 R6=00000000 R14=00000180 R15=00FF6680
PRE IC=521147 IA=018AAA INST=98BFA01207FB PSW=0004000050018AAA R6=00000000 R14=00000180 R15=00FF6680
PRE IC=521148 IA=018AAE INST=07FB98ABB04C PSW=0004000090018AAE R6=00000000 R14=0000B000 R15=00014070
PRE IC=521149 IA=0161B8 INST=980FE03094F7 PSW=00040000500161B8 R6=00000000 R14=0000B000 R15=00014070
PRE IC=521150 IA=0161BC INST=94F702018200 PSW=00040000900161BC R6=00000000 R14=600154E8 R15=00000004
PRE IC=521151 IA=0161C0 INST=8200020058D0 PSW=00040000900161C0 R6=00000000 R14=600154E8 R15=00000004
PRE IC=521152 IA=000020 INST=FF04000D0001 PSW=0004000160000020 R6=00000000 R14=600154E8 R15=00000004
LOWCORE SVCOLD20=FF04000D00014144 PGMOLD28=0004000160000020 SVCNEW60=00040000000165F0 PGMNEW68=00040000000002CA
END
